name,current_bid,opening_bid,estimate_bid,buy_it_now,end_time,description,images,url,commission,vat_rate,has_buy_it_now,has_estimate,has_current_bid,has_opening_bid,ebay_lowest_price,suggested_price,price_source,ebay_url,google_url,all_prices
"AS NEW MICROSOFT SURFACE LAPTOP GO 3 LAPTOP IN ICE BLUE WITH INTEL CORE I5 12TH GEN CPU, 16GB RAM, 2",None,200,200 GBP - 300 GBP,Unknown,"Bidding ends:
18 Feb 2025 12:00 GMT","As new Microsoft Surface Laptop Go 3 Laptop in Ice Blue with Intel Core i5 12th Gen CPU, 16GB RAM, 256GB SSD (Box sealed) (P/N: XKQ-00061 S/N: 0B33DRD24303GP EAN: 196388184965).",['https://portal-images.azureedge.net/auctions-2025/ibbc10376/images/0e631729-f927-4d29-b9a2-b2810103fbd8.jpg?w=540&h=360'],https://www.i-bidder.com/en-gb/auction-catalogues/bcva/catalogue-id-ibbc10376/lot-71da4989-b248-4abd-bb09-b28000e5efca,25.00,20.00,,TRUE,TRUE,TRUE,£482.08,£472.44,ebay_sold,https://www.ebay.co.uk/itm/356454292131?_skw=as+microsoft+surface+laptop+go+laptop+in+ice+blue+with+intel+core+i5+12th+gen+cpu%2C+16gb+ram%2C&itmmeta=01JKYN5DF61F56KGBBYZ6W19VJ&hash=item52fe54daa3:g:ZaUAAOSwaYFngRQS&itmprp=enc%3AAQAKAAABQFkggFvd1GGDu0w3yXCmi1en9Nh0zPoK1%2F1RUv62fimstnC0s3mv250ye%2F9TnrI5wpMSesGLzr%2B2OrsfTE%2BEMiEv83cwT2BOO7q9O1NDdgnyho9N1RlEU4xDOayv%2FogRwOnqgtdauwwsDil6%2FC6Q9jcS449EsRDpcN0vZCWUSGHXqH74h6yPR2xBTYCC19iM1GcjKqbA90%2B%2Fif6D6rxtQ607o38GIXTZS4lg9d1QwP2EvCPMLHlbyuYpJNXnqBXQNW%2BjXILSk9nNt2sl3qx4D4149088qOIIDoHZ2s3YnYTgsR--Ni7q0jSkfOD81qFVY3UAKLsKP9yWkDe52LlHe22i5yutL05bzggdf7UJ2K3q%2BDkeNh2s70t5QHjfYm99tUfwvSJ%2FCGIk51GbAm40VXwLZExa4U11s04llulei6mv%7Ctkp%3ABk9SR97XldWfZQ,,"['£91.19', '£241.03', '£482.08', '£421.82', '£438.29', '£345.49', '£286.04', '£321.79']"
"AS NEW SAMSUNG GALAXY TAB A9+ SM-X210 11"" WI-FI 64GB TABLET IN GRAPHITE (EAN: 8806095488868) (BOX SE",30,35,30 GBP - 50 GBP,Unknown,"Bidding ends:
18 Feb 2025 12:00 GMT","As new Samsung Galaxy Tab A9+ SM-X210 11"" Wi-Fi 64GB Tablet in Graphite (EAN: 8806095488868) (Box sealed, some damage to packaging).",['https://portal-images.azureedge.net/auctions-2025/ibbc10376/images/1a02513b-7790-43e6-86ab-b2810103fe25.jpg?w=540&h=360'],https://www.i-bidder.com/en-gb/auction-catalogues/bcva/catalogue-id-ibbc10376/lot-06617433-d571-49a3-860c-b28000e5f145,25.00,20.00,,TRUE,TRUE,TRUE,£96.41,£94.48,ebay_sold,https://www.ebay.co.uk/itm/256807384140?_skw=as+samsung+galaxy+tab+a9++sm-x210+11%22+wi-fi+64gb+tablet+in+graphite+%28box+se&epid=15073199551&itmmeta=01JKYN5KJVKSKMFK1XXMTMJ3MS&hash=item3bcae9b44c:g:~wYAAOSwF7xnpNaC&itmprp=enc%3AAQAKAAABMFkggFvd1GGDu0w3yXCmi1dAhVMXBPai1eZXecEDFzfyzQXSJE5z3YtO1qWWrXPgvaQX8ggdOYbJA4kPaCEXyuQfg%2FAvY08HNemomCY7B753wSSAFqS%2BUYBxFzNg%2FG64itThOZuLwOgUSvi3DinvBXqZ3%2FzvIVjSEoXfwvwvqqcmVJbTu0qo3zNTISlnnK9SiLOSFy8ga44dCF%2Fj%2BrMCUq6AV7SJsQ%2FHbH6hy4gfG%2Bk%2BVFQqVJLNkkqd48JvxVOHZXSbdlF8jp1lQVqZLH8QCoG%2Fk3vlMvFxW3uV0v2Nlrmyo3S50RiKqeRAURv%2FmRLJB60ygI8oPP3DQsogcK9Lz6hGY9Z5%2FxZtTHxhaJgBviJYsg8DPF9l411jd%2BFhaDyBq8yJvsOuyBMhbfG9XQFGXT0%3D%7Ctkp%3ABk9SR8S5ltWfZQ,,"['£23.57', '£84.36', '£104.44', '£86.37', '£96.41', '£94.41', '£114.49', '£96.41']"
AS NEW GPS NETWORKING EQUIPMENT: L1/L2VGPNRRKAMP-T/5.0/240 VARIABLE GAIN NETWORKED RE-RADIATING AMPL,None,220,220 GBP - 260 GBP,Unknown,"Bidding ends:
18 Feb 2025 12:01 GMT","As new GPS Networking Equipment: L1/L2VGPNRRKAMP-T/5.0/240 Variable Gain Networked Re-Radiating Amplifier, LDCBS1X2-T Passive 1x2 Splitter, L1/L2GRRKPA-T - L1/L2 Galileo Glonass Passive GPS Antenna",['https://portal-images.azureedge.net/auctions-2025/ibbc10376/images/38fc441a-f5b8-4c58-b8b9-b2810103fedc.jpg?w=540&h=360'],https://www.i-bidder.com/en-gb/auction-catalogues/bcva/catalogue-id-ibbc10376/lot-ed44eec8-9a44-4933-99c2-b28000e5f1a8,25.00,20.00,,TRUE,TRUE,TRUE,,,ebay_sold,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw,,"['£20.73', '£24.89', '£99.91', '£24.89', '£26.51', '£28.99', '£20.95', '£25.79']"
AS NEW HID SIGNO 40 SMARTCARD READER (P/N: 40NKS-02-0002BL) (EAN: 639399034572).,6,7,5 GBP - 10 GBP,Unknown,"Bidding ends:
18 Feb 2025 12:01 GMT",As new HID Signo 40 Smartcard Reader (P/N: 40NKS-02-0002BL) (EAN: 639399034572).,['https://portal-images.azureedge.net/auctions-2025/ibbc10376/images/f807418d-14f6-41de-a66e-b28200c40fd3.jpg?w=540&h=360'],https://www.i-bidder.com/en-gb/auction-catalogues/bcva/catalogue-id-ibbc10376/lot-e6d44a9a-b203-4e52-b503-b28000e5f237,25.00,20.00,,TRUE,TRUE,TRUE,£72.31,£70.86,ebay_sold,https://www.ebay.co.uk/itm/296958603235?_skw=as+hid+signo+40+smartcard+reader+.&epid=5051525269&itmmeta=01JKYN68J4WD48XTRQHQ7PRN5Z&hash=item45241cafe3:g:dQAAAOSwIIJnkViS&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cYv%2Bm7U1u7SJx4i6mPtqyxs5Lf6fJhPoyzJ6MzqF3058LM1mDXGcRv5ms8egVCGyee2WTxfeOC2hwNTIkP%2BIUZPNt26gEn8TNb7s9%2BTgvUYInuHnBAcuobKWUxWQ54He1ROuYNfk7Xx%2FpuFqedyezDkD2qLyTWyK2iU8UIrN3a5Gpr0RagVCjAveYjnOW4Z5BUDfXwGk9r2hoJ3RKNEOD%2BDyBKG6c2TQN%2BJUj0n6ZKy%2FqtTsVr6I3bgT%2Fj0PCcBmD0pBxS5fkhYO51aveYGFNX%7Ctkp%3ABk9SR5qJmdWfZQ,,"['£68.29', '£72.31', '£100.43', '£59.46', '£72.31', '£68.29', '£108.47', '£96.42']"
AS NEW HID SIGNO 40 SMARTCARD READER (P/N: 40NKS-02-0002BL) (EAN: 639399034572).,6,7,5 GBP - 10 GBP,Unknown,"Bidding ends:
18 Feb 2025 12:01 GMT",As new HID Signo 40 Smartcard Reader (P/N: 40NKS-02-0002BL) (EAN: 639399034572).,['https://portal-images.azureedge.net/auctions-2025/ibbc10376/images/caab163a-0561-4761-9e8a-b28200c4276f.jpg?w=540&h=360'],https://www.i-bidder.com/en-gb/auction-catalogues/bcva/catalogue-id-ibbc10376/lot-2f82838a-7989-4433-8710-b28000e5f2ac,25.00,20.00,,TRUE,TRUE,TRUE,£72.31,£70.86,ebay_sold,https://www.ebay.co.uk/itm/296958603235?_skw=as+hid+signo+40+smartcard+reader+.&epid=5051525269&itmmeta=01JKYN68J4WD48XTRQHQ7PRN5Z&hash=item45241cafe3:g:dQAAAOSwIIJnkViS&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cYv%2Bm7U1u7SJx4i6mPtqyxs5Lf6fJhPoyzJ6MzqF3058LM1mDXGcRv5ms8egVCGyee2WTxfeOC2hwNTIkP%2BIUZPNt26gEn8TNb7s9%2BTgvUYInuHnBAcuobKWUxWQ54He1ROuYNfk7Xx%2FpuFqedyezDkD2qLyTWyK2iU8UIrN3a5Gpr0RagVCjAveYjnOW4Z5BUDfXwGk9r2hoJ3RKNEOD%2BDyBKG6c2TQN%2BJUj0n6ZKy%2FqtTsVr6I3bgT%2Fj0PCcBmD0pBxS5fkhYO51aveYGFNX%7Ctkp%3ABk9SR5qJmdWfZQ,,"['£68.29', '£72.31', '£100.43', '£59.46', '£72.31', '£68.29', '£108.47', '£96.42']"
AS NEW HID SIGNO 40 SMARTCARD READER (P/N: 40NKS-02-0002BL) (EAN: 639399034572).,6,7,5 GBP - 10 GBP,Unknown,"Bidding ends:
18 Feb 2025 12:01 GMT",As new HID Signo 40 Smartcard Reader (P/N: 40NKS-02-0002BL) (EAN: 639399034572).,['https://portal-images.azureedge.net/auctions-2025/ibbc10376/images/d34f4f5e-b275-4b30-94f1-b28200c4340d.jpg?w=540&h=360'],https://www.i-bidder.com/en-gb/auction-catalogues/bcva/catalogue-id-ibbc10376/lot-4975ca32-1a84-4596-9d13-b28000e5f319,25.00,20.00,,TRUE,TRUE,TRUE,£72.31,£70.86,ebay_sold,https://www.ebay.co.uk/itm/296958603235?_skw=as+hid+signo+40+smartcard+reader+.&epid=5051525269&itmmeta=01JKYN68J4WD48XTRQHQ7PRN5Z&hash=item45241cafe3:g:dQAAAOSwIIJnkViS&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cYv%2Bm7U1u7SJx4i6mPtqyxs5Lf6fJhPoyzJ6MzqF3058LM1mDXGcRv5ms8egVCGyee2WTxfeOC2hwNTIkP%2BIUZPNt26gEn8TNb7s9%2BTgvUYInuHnBAcuobKWUxWQ54He1ROuYNfk7Xx%2FpuFqedyezDkD2qLyTWyK2iU8UIrN3a5Gpr0RagVCjAveYjnOW4Z5BUDfXwGk9r2hoJ3RKNEOD%2BDyBKG6c2TQN%2BJUj0n6ZKy%2FqtTsVr6I3bgT%2Fj0PCcBmD0pBxS5fkhYO51aveYGFNX%7Ctkp%3ABk9SR5qJmdWfZQ,,"['£68.29', '£72.31', '£100.43', '£59.46', '£72.31', '£68.29', '£108.47', '£96.42']"
AS NEW HID SIGNO 40 SMARTCARD READER (P/N: 40NKS-02-0002BL) (EAN: 639399034572).,6,7,5 GBP - 10 GBP,Unknown,"Bidding ends:
18 Feb 2025 12:02 GMT",As new HID Signo 40 Smartcard Reader (P/N: 40NKS-02-0002BL) (EAN: 639399034572).,['https://portal-images.azureedge.net/auctions-2025/ibbc10376/images/d7e19a80-b3e3-4c70-a4fe-b28200c43ccc.jpg?w=540&h=360'],https://www.i-bidder.com/en-gb/auction-catalogues/bcva/catalogue-id-ibbc10376/lot-76f92a7b-09bf-4c41-8df4-b28000e5f382,25.00,20.00,,TRUE,TRUE,TRUE,£72.31,£70.86,ebay_sold,https://www.ebay.co.uk/itm/296958603235?_skw=as+hid+signo+40+smartcard+reader+.&epid=5051525269&itmmeta=01JKYN68J4WD48XTRQHQ7PRN5Z&hash=item45241cafe3:g:dQAAAOSwIIJnkViS&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cYv%2Bm7U1u7SJx4i6mPtqyxs5Lf6fJhPoyzJ6MzqF3058LM1mDXGcRv5ms8egVCGyee2WTxfeOC2hwNTIkP%2BIUZPNt26gEn8TNb7s9%2BTgvUYInuHnBAcuobKWUxWQ54He1ROuYNfk7Xx%2FpuFqedyezDkD2qLyTWyK2iU8UIrN3a5Gpr0RagVCjAveYjnOW4Z5BUDfXwGk9r2hoJ3RKNEOD%2BDyBKG6c2TQN%2BJUj0n6ZKy%2FqtTsVr6I3bgT%2Fj0PCcBmD0pBxS5fkhYO51aveYGFNX%7Ctkp%3ABk9SR5qJmdWfZQ,,"['£68.29', '£72.31', '£100.43', '£59.46', '£72.31', '£68.29', '£108.47', '£96.42']"
AS NEW HID SIGNO 40 SMARTCARD READER (P/N: 40NKS-02-0002BL) (EAN: 639399034572).,6,7,5 GBP - 10 GBP,Unknown,"Bidding ends:
18 Feb 2025 12:02 GMT",As new HID Signo 40 Smartcard Reader (P/N: 40NKS-02-0002BL) (EAN: 639399034572).,['https://portal-images.azureedge.net/auctions-2025/ibbc10376/images/58404a63-bef5-49bd-ac28-b28200c446a0.jpg?w=540&h=360'],https://www.i-bidder.com/en-gb/auction-catalogues/bcva/catalogue-id-ibbc10376/lot-4e1bc3c8-0382-4d02-86f8-b28000e5f3f3,25.00,20.00,,TRUE,TRUE,TRUE,£72.31,£70.86,ebay_sold,https://www.ebay.co.uk/itm/296958603235?_skw=as+hid+signo+40+smartcard+reader+.&epid=5051525269&itmmeta=01JKYN68J4WD48XTRQHQ7PRN5Z&hash=item45241cafe3:g:dQAAAOSwIIJnkViS&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cYv%2Bm7U1u7SJx4i6mPtqyxs5Lf6fJhPoyzJ6MzqF3058LM1mDXGcRv5ms8egVCGyee2WTxfeOC2hwNTIkP%2BIUZPNt26gEn8TNb7s9%2BTgvUYInuHnBAcuobKWUxWQ54He1ROuYNfk7Xx%2FpuFqedyezDkD2qLyTWyK2iU8UIrN3a5Gpr0RagVCjAveYjnOW4Z5BUDfXwGk9r2hoJ3RKNEOD%2BDyBKG6c2TQN%2BJUj0n6ZKy%2FqtTsVr6I3bgT%2Fj0PCcBmD0pBxS5fkhYO51aveYGFNX%7Ctkp%3ABk9SR5qJmdWfZQ,,"['£68.29', '£72.31', '£100.43', '£59.46', '£72.31', '£68.29', '£108.47', '£96.42']"
PRE-OWNED CISCO MERAKI MR33 DUAL-BAND WIRELESS ACCESS POINT (P/N: MR33-HW) (UN-REGISTERED. BOXED).,None,20,20 GBP - 40 GBP,Unknown,"Bidding ends:
18 Feb 2025 12:02 GMT",Pre-owned Cisco Meraki MR33 Dual-Band Wireless Access Point (P/N: MR33-HW) (Un-registered. Boxed).,['https://portal-images.azureedge.net/auctions-2025/ibbc10376/images/bbc06d8b-1c39-448c-96ce-b28101040353.jpg?w=540&h=360'],https://www.i-bidder.com/en-gb/auction-catalogues/bcva/catalogue-id-ibbc10376/lot-fee2288b-4193-4e6d-a2ff-b28000e5f473,25.00,20.00,,TRUE,TRUE,TRUE,£40.17,£39.37,ebay_sold,https://www.ebay.co.uk/itm/126813648075?_skw=pre-owned+cisco+meraki+mr33+dual-band+wireless+access+point+.&epid=5030654592&itmmeta=01JKYN5YFVGWKQB4WWTJV7Z4A5&hash=item1d86aeb4cb:g:qX8AAOSwgT1nUNad&itmprp=enc%3AAQAKAAABAFkggFvd1GGDu0w3yXCmi1eq9F65ASpTgAO5x%2F6VXF0Zr4yooyBNyaWPiGJQwzKcXZdtJ1fmRRY%2FHziLxutcIiow2DmxCg2m7WAx9Bo%2BG08pYPk0d88i0jy3r3z6TzBwe%2FEjyNuvQzfE7qsnJ8oJj08Rdg41BqGRYUABd2brRs73F8kwii6P9fTtfYEVyoGyob26jE%2F2QXz0kTQF7IqKAY6N63gAvKfjRtbhcsMb%2B8pvPXe7IU3v1CwMTIp%2B2mIgvBcly9XeJDM%2Bf6MjNUiSVLxeHYRgHiXpdb9GhDlHMKkSwoo%2BRGPPKMgwdJLDh2FQmg4YRBNyHUXs6oOGtyObbsE%3D%7Ctkp%3ABk9SR4jol9WfZQ,,"['£10.81', '£44.19', '£344.69', '£136.59', '£40.17', '£48.17', '£192.74', '£56.20']"
PRE-OWNED CISCO MERAKI MR33 DUAL-BAND WIRELESS ACCESS POINT (P/N: MR33-HW) (UN-REGISTERED. BOXED).,None,20,20 GBP - 40 GBP,Unknown,"Bidding ends:
18 Feb 2025 12:02 GMT",Pre-owned Cisco Meraki MR33 Dual-Band Wireless Access Point (P/N: MR33-HW) (Un-registered. Boxed).,['https://portal-images.azureedge.net/auctions-2025/ibbc10376/images/c0fd136c-427b-4424-99ef-b2810104041b.jpg?w=540&h=360'],https://www.i-bidder.com/en-gb/auction-catalogues/bcva/catalogue-id-ibbc10376/lot-f5457a36-b59f-45f2-85ac-b28000e5f4d1,25.00,20.00,,TRUE,TRUE,TRUE,£40.17,£39.37,ebay_sold,https://www.ebay.co.uk/itm/126813648075?_skw=pre-owned+cisco+meraki+mr33+dual-band+wireless+access+point+.&epid=5030654592&itmmeta=01JKYN5YFVGWKQB4WWTJV7Z4A5&hash=item1d86aeb4cb:g:qX8AAOSwgT1nUNad&itmprp=enc%3AAQAKAAABAFkggFvd1GGDu0w3yXCmi1eq9F65ASpTgAO5x%2F6VXF0Zr4yooyBNyaWPiGJQwzKcXZdtJ1fmRRY%2FHziLxutcIiow2DmxCg2m7WAx9Bo%2BG08pYPk0d88i0jy3r3z6TzBwe%2FEjyNuvQzfE7qsnJ8oJj08Rdg41BqGRYUABd2brRs73F8kwii6P9fTtfYEVyoGyob26jE%2F2QXz0kTQF7IqKAY6N63gAvKfjRtbhcsMb%2B8pvPXe7IU3v1CwMTIp%2B2mIgvBcly9XeJDM%2Bf6MjNUiSVLxeHYRgHiXpdb9GhDlHMKkSwoo%2BRGPPKMgwdJLDh2FQmg4YRBNyHUXs6oOGtyObbsE%3D%7Ctkp%3ABk9SR4jol9WfZQ,,"['£10.81', '£44.19', '£344.69', '£136.59', '£40.17', '£48.17', '£192.74', '£56.20']"
